year,date,name,iso_a3,currency_code,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adj,EUR_adj,GBP_adj,JPY_adj,CNY_adj,"Gross domestic product per capita, current prices (National currency)","Gross domestic product per capita, current prices (U.S. dollars)","Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Unemployment rate (Percent of total labor force)
2003,2003-04-01,Thailand,THA,THB,59.0,42.7,1.3817330210772834,-0.49014,-0.53649,-0.56055,-0.36715,0.15563,,,,,,,,"97,867.02","2,356.97",71.133,1.813,2.192
2003,2003-04-01,Turkey,TUR,TRY,3750000.0,1600500.0,2.343017806935333,-0.13542,-0.21402,-0.25481,0.07314,0.95961,,,,,,,,"7,027.70","4,684.70",100,25.337,9.925
2003,2003-04-01,United States,USA,USD,2.71,1.0,2.71,0.0,-0.09091,-0.1381,0.24122,1.26655,,,,,,,,"39,405.35","39,405.35",184,2.298,5.992
2003,2003-04-01,Venezuela,VEN,VEF,3700.0,1598.0,2.3153942428035044,-0.14561,-0.22328,-0.2636,0.06049,0.93651,,,,,,,,0.052,"3,266.10",46.772,31.091,18.188
2004,2004-05-01,Argentina,ARG,ARS,4.36,2.95,1.4779661016949153,-0.49036,-0.5505,-0.56081,-0.36256,0.17669,,,,,,,,"12,690.70","4,314.10",38.577,4.416,13.625
2004,2004-05-01,Australia,AUS,AUD,3.25,1.43,2.272727272727273,-0.2163,-0.30878,-0.32464,-0.01978,0.80944,,,,,,,,"44,477.79","32,761.41",80.85,2.342,5.392
2004,2004-05-01,Brazil,BRA,BRL,5.4,3.18,1.6981132075471699,-0.41444,-0.48354,-0.49539,-0.26761,0.35196,,,,,,,,"10,705.99","3,660.02","15,274,640,629,719.90",6.598,12.9
2004,2004-05-01,Britain,GBR,GBP,1.88,0.558659218,3.365199999259656,0.16041,0.02348,0.0,0.4514,1.67922,,,,,,,,,,,,
2004,2004-05-01,Canada,CAN,CAD,3.19,1.37,2.3284671532846715,-0.19708,-0.29183,-0.30807,0.00426,0.85382,,,,,,,,"41,870.81","32,176.59",104.658,1.857,7.15
2004,2004-05-01,Chile,CHL,CLP,1400.0,641.0,2.1840873634945397,-0.24687,-0.33574,-0.35098,-0.05801,0.73887,,,,,,,,"3,774,866.33","6,193.09",62.525,1.053,10.017
2004,2004-05-01,China,CHN,CNY,10.4,8.28,1.2560386473429954,-0.56688,-0.61799,-0.62676,-0.45827,0.0,,,,,,,,"12,413.12","1,499.71",74.009,3.9,4.2
2004,2004-05-01,Colombia,COL,COP,6500.0,2769.83,2.3467144192964913,-0.19079,-0.28628,-0.30265,0.01213,0.86835,,,,,,,,"7,427,895.07","2,826.05",55.183,5.906,13.667
